Smoothing,Baseline,N_Groups_Detected,Detected_Groups,N_Peaks_Detected,N_Noise_Peaks,Score_Std,Score_Penalized
RAW,RAW,3,"C-O-C, C=C, O-H",6,3,6,3
RAW,detrend,3,"C-O-C, C=C, O-H",6,3,6,3
RAW,linear_baseline,3,"C-O-C, C=C, O-H",6,3,6,3
RAW,polynomial_baseline(deg=2),3,"C-O-C, C=C, O-H",6,3,6,3
RAW,polynomial_baseline(deg=3),3,"C-O-C, C=C, O-H",6,3,6,3
RAW,polynomial_baseline(deg=4),3,"C-O-C, C=C, O-H",6,3,6,3
RAW,"asls(lam=1e4, p=0.001)",3,"C-O-C, C=C, O-H",7,4,6,2
RAW,"asls(lam=1e5, p=0.001)",3,"C-O-C, C=C, O-H",6,3,6,3
RAW,"asls(lam=1e6, p=0.001)",3,"C-O-C, C=C, O-H",6,3,6,3
RAW,airpls(lam=1e4),3,"C-O-C, C=C, O-H",6,3,6,3
RAW,airpls(lam=1e5),3,"C-O-C, C=C, O-H",6,3,6,3
RAW,airpls(lam=1e6),3,"C-O-C, C=C, O-H",6,3,6,3
RAW,arpls(lam=1e4),1,C-O-C,6,4,3,-1
RAW,arpls(lam=1e5),2,"C-O-C, C=C",6,4,4,0
RAW,arpls(lam=1e6),3,"C-O-C, C=C, O-H",6,3,6,3
Moving_Average(3),RAW,3,"C-O-C, C=C, O-H",6,3,6,3
Moving_Average(3),detrend,3,"C-O-C, C=C, O-H",6,3,6,3
Moving_Average(3),linear_baseline,3,"C-O-C, C=C, O-H",6,3,6,3
Moving_Average(3),polynomial_baseline(deg=2),3,"C-O-C, C=C, O-H",6,3,6,3
Moving_Average(3),polynomial_baseline(deg=3),3,"C-O-C, C=C, O-H",6,3,6,3
Moving_Average(3),polynomial_baseline(deg=4),3,"C-O-C, C=C, O-H",6,3,6,3
Moving_Average(3),"asls(lam=1e4, p=0.001)",3,"C-O-C, C=C, O-H",7,4,6,2
Moving_Average(3),"asls(lam=1e5, p=0.001)",3,"C-O-C, C=C, O-H",6,3,6,3
