Type,Wavenumber,Absorbance,Mapped_Group
Peak,2218.00,0.012336,None
Valley,2062.00,-0.016038,N/A
Peak,1952.00,0.061923,None
Valley,1674.00,-0.016440,N/A
Peak,1560.00,0.029714,C=C
Valley,1464.00,-0.011987,N/A
Peak,1442.00,0.008878,C-O
Peak,1250.00,0.027765,C-O
Valley,1192.00,-0.021425,N/A
Peak,1168.00,0.000108,C-O-C
Peak,1100.00,0.020911,C-O-C
Valley,1044.00,-0.015823,N/A
Peak,884.00,0.036456,None
Valley,868.00,0.009303,N/A
Valley,790.00,0.008100,N/A
Peak,756.00,0.029912,None
Valley,714.00,-0.020536,N/A
Valley,652.00,0.004399,N/A
Peak,612.00,0.026745,None
Valley,582.00,-0.001778,N/A
Valley,492.00,-0.001010,N/A
Valley,424.00,0.001035,N/A
Peak,400.00,0.048418,None
Valley,280.00,-0.013349,N/A
Peak,252.00,0.008469,None
Valley,190.00,-0.023296,N/A
Peak,166.00,-0.003778,None
