Smoothing,Baseline,N_Groups_Detected,Detected_Groups,N_Peaks_Detected,N_Noise_Peaks,Score_Std,Score_Penalized
RAW,RAW,4,"Amida I, Fosfatos (ADN/ARN), Lípidos (C-H), Proteínas/Lípidos",43,34,13,-21
RAW,detrend,4,"Amida I, Fosfatos (ADN/ARN), Lípidos (C-H), Proteínas/Lípidos",43,34,13,-21
RAW,linear_baseline,4,"Amida I, Fosfatos (ADN/ARN), Lípidos (C-H), Proteínas/Lípidos",43,34,13,-21
RAW,polynomial_baseline(deg=2),4,"Amida I, Fosfatos (ADN/ARN), Lípidos (C-H), Proteínas/Lípidos",43,34,13,-21
RAW,polynomial_baseline(deg=3),4,"Amida I, Fosfatos (ADN/ARN), Lípidos (C-H), Proteínas/Lípidos",43,34,13,-21
RAW,polynomial_baseline(deg=4),4,"Amida I, Fosfatos (ADN/ARN), Lípidos (C-H), Proteínas/Lípidos",43,34,13,-21
RAW,"asls(lam=1e4, p=0.001)",4,"Amida I, Fosfatos (ADN/ARN), Lípidos (C-H), Proteínas/Lípidos",41,33,12,-21
RAW,"asls(lam=1e5, p=0.001)",4,"Amida I, Fosfatos (ADN/ARN), Lípidos (C-H), Proteínas/Lípidos",42,33,13,-20
RAW,"asls(lam=1e6, p=0.001)",4,"Amida I, Fosfatos (ADN/ARN), Lípidos (C-H), Proteínas/Lípidos",42,33,13,-20
RAW,airpls(lam=1e4),4,"Amida I, Fosfatos (ADN/ARN), Lípidos (C-H), Proteínas/Lípidos",42,33,13,-20
RAW,airpls(lam=1e5),4,"Amida I, Fosfatos (ADN/ARN), Lípidos (C-H), Proteínas/Lípidos",42,33,13,-20
RAW,airpls(lam=1e6),4,"Amida I, Fosfatos (ADN/ARN), Lípidos (C-H), Proteínas/Lípidos",43,34,13,-21
RAW,arpls(lam=1e4),4,"Amida I, Fosfatos (ADN/ARN), Lípidos (C-H), Proteínas/Lípidos",40,31,13,-18
RAW,arpls(lam=1e5),4,"Amida I, Fosfatos (ADN/ARN), Lípidos (C-H), Proteínas/Lípidos",40,32,12,-20
RAW,arpls(lam=1e6),4,"Amida I, Fosfatos (ADN/ARN), Lípidos (C-H), Proteínas/Lípidos",41,33,12,-21
Moving_Average(3),RAW,4,"Amida I, Fosfatos (ADN/ARN), Lípidos (C-H), Proteínas/Lípidos",41,34,11,-23
Moving_Average(3),detrend,4,"Amida I, Fosfatos (ADN/ARN), Lípidos (C-H), Proteínas/Lípidos",40,33,11,-22
Moving_Average(3),linear_baseline,4,"Amida I, Fosfatos (ADN/ARN), Lípidos (C-H), Proteínas/Lípidos",40,33,11,-22
Moving_Average(3),polynomial_baseline(deg=2),4,"Amida I, Fosfatos (ADN/ARN), Lípidos (C-H), Proteínas/Lípidos",41,34,11,-23
Moving_Average(3),polynomial_baseline(deg=3),4,"Amida I, Fosfatos (ADN/ARN), Lípidos (C-H), Proteínas/Lípidos",41,34,11,-23
Moving_Average(3),polynomial_baseline(deg=4),4,"Amida I, Fosfatos (ADN/ARN), Lípidos (C-H), Proteínas/Lípidos",41,34,11,-23
Moving_Average(3),"asls(lam=1e4, p=0.001)",4,"Amida I, Fosfatos (ADN/ARN), Lípidos (C-H), Proteínas/Lípidos",39,32,11,-21
Moving_Average(3),"asls(lam=1e5, p=0.001)",4,"Amida I, Fosfatos (ADN/ARN), Lípidos (C-H), Proteínas/Lípidos",41,34,11,-23
Moving_Average(3),"asls(lam=1e6, p=0.001)",4,"Amida I, Fosfatos (ADN/ARN), Lípidos (C-H), Proteínas/Lípidos",41,34,11,-23
Moving_Average(3),airpls(lam=1e4),4,"Amida I, Fosfatos (ADN/ARN), Lípidos (C-H), Proteínas/Lípidos",41,34,11,-23
Moving_Average(3),airpls(lam=1e5),4,"Amida I, Fosfatos (ADN/ARN), Lípidos (C-H), Proteínas/Lípidos",41,34,11,-23
Moving_Average(3),airpls(lam=1e6),4,"Amida I, Fosfatos (ADN/ARN), Lípidos (C-H), Proteínas/Lípidos",41,34,11,-23
Moving_Average(3),arpls(lam=1e4),4,"Amida I, Fosfatos (ADN/ARN), Lípidos (C-H), Proteínas/Lípidos",40,31,13,-18
Moving_Average(3),arpls(lam=1e5),4,"Amida I, Fosfatos (ADN/ARN), Lípidos (C-H), Proteínas/Lípidos",39,32,11,-21
Moving_Average(3),arpls(lam=1e6),4,"Amida I, Fosfatos (ADN/ARN), Lípidos (C-H), Proteínas/Lípidos",39,32,11,-21
Moving_Average(5),RAW,4,"Amida I, Fosfatos (ADN/ARN), Lípidos (C-H), Proteínas/Lípidos",39,30,13,-17
Moving_Average(5),detrend,4,"Amida I, Fosfatos (ADN/ARN), Lípidos (C-H), Proteínas/Lípidos",39,31,12,-19
Moving_Average(5),linear_baseline,4,"Amida I, Fosfatos (ADN/ARN), Lípidos (C-H), Proteínas/Lípidos",39,31,12,-19
Moving_Average(5),polynomial_baseline(deg=2),4,"Amida I, Fosfatos (ADN/ARN), Lípidos (C-H), Proteínas/Lípidos",38,29,13,-16
Moving_Average(5),polynomial_baseline(deg=3),4,"Amida I, Fosfatos (ADN/ARN), Lípidos (C-H), Proteínas/Lípidos",38,30,12,-18
