Type,Wavenumber,Absorbance,Mapped_Group
Peak,3919.35,-0.082321,None
Valley,3909.71,-0.146241,N/A
Peak,3867.28,-0.001180,None
Peak,3830.63,0.151630,None
Peak,3795.91,0.237879,None
Valley,3780.48,0.088721,N/A
Peak,3739.97,0.444147,None
Valley,3718.76,0.118924,N/A
Peak,3703.33,0.243550,None
Peak,3666.68,0.485432,None
Valley,3631.96,0.172294,N/A
Peak,3620.39,0.237980,None
Peak,3585.67,0.087355,O-H
Valley,3572.17,-0.016879,N/A
Valley,3527.80,-0.166248,N/A
Valley,3423.65,-0.281461,N/A
Peak,2999.31,0.114318,C-H
Valley,2924.09,-0.199189,N/A
Peak,2879.72,0.042125,C-H
Valley,2854.65,-0.025304,N/A
Peak,2393.66,0.307555,CO2
Valley,2362.80,-3.581566,N/A
Peak,2345.44,-2.796098,CO2
Peak,2277.93,0.214021,None
Valley,2270.22,0.188890,N/A
Peak,1859.38,0.914800,None
Valley,1853.59,0.872793,N/A
Peak,1818.87,1.091695,None
Valley,1811.16,1.044231,N/A
Peak,1789.94,1.107405,None
Valley,1716.65,0.155000,N/A
Peak,1689.64,0.338027,C=O
Valley,1681.93,0.287579,N/A
Peak,1649.14,0.447741,C=C
Valley,1585.49,-0.175640,N/A
Peak,1573.91,-0.098308,C=C
Valley,1543.05,-0.056140,N/A
Peak,1533.41,0.077887,C=C
Peak,1496.76,0.366708,None
Valley,1483.26,0.303535,N/A
Peak,1452.40,0.298858,None
Valley,1440.83,0.206676,N/A
Valley,1381.03,0.089222,N/A
Peak,1354.03,0.172995,C-O
Valley,1321.24,0.080981,N/A
Peak,1303.88,0.106559,C-O
Valley,1182.36,-0.407212,N/A
Peak,1143.79,-0.268364,C-O-C
Valley,1109.07,-0.361461,N/A
Peak,1068.56,-0.240300,C-O-C
Valley,1039.63,-0.293962,N/A
Peak,1002.98,-0.164631,C-O-C
Valley,985.62,-0.198133,N/A
Peak,933.55,0.418499,None
Valley,833.25,-0.072066,N/A
Peak,798.53,0.043819,None
Valley,773.46,0.005158,N/A
Peak,711.73,0.051945,None
Valley,677.01,-0.174705,N/A
Peak,640.37,0.039758,None
Valley,621.08,-0.010076,N/A
Peak,588.29,0.140195,None
Valley,547.78,-0.018749,N/A
Peak,532.35,0.037746,None
Valley,491.85,-0.146950,N/A
Valley,424.34,-0.113583,N/A
Peak,410.84,0.262062,None
Valley,370.33,-0.429255,N/A
Peak,360.69,0.452422,None
