Type,Wavenumber,Absorbance,Mapped_Group
Peak,3638.42,0.190031,None
Valley,3553.98,-0.012327,N/A
Peak,3314.57,1.032267,O-H
Valley,3096.93,-0.003140,N/A
Peak,2975.92,1.739045,C-H
Valley,2948.93,0.496573,N/A
Peak,2922.81,0.689297,C-H
Valley,2912.36,0.638717,N/A
Peak,2888.86,0.816412,C-H
Valley,2767.85,-0.000199,N/A
Peak,2717.36,0.022912,None
Valley,2666.86,-0.000704,N/A
Peak,2405.69,0.094402,None
Valley,1956.47,0.028526,N/A
Peak,1926.87,0.055306,None
Valley,1549.91,-0.000355,N/A
Peak,1457.63,0.418278,None
Valley,1435.00,0.350874,N/A
Peak,1382.76,0.515759,C-O
Valley,1352.29,0.205140,N/A
Peak,1322.69,0.289134,C-O
Valley,1284.39,0.141667,N/A
Peak,1272.20,0.196164,C-O
Valley,1180.79,-0.046962,N/A
Peak,1085.03,1.435585,C-O-C
Valley,1066.74,0.672669,N/A
Peak,1043.24,1.983573,C-O-C
Valley,954.44,-0.000576,N/A
Peak,877.83,0.867450,None
Valley,848.23,0.038822,N/A
Peak,806.44,0.172974,None
Valley,786.42,0.093825,N/A
Peak,649.74,0.233511,None
Valley,465.18,-0.001290,N/A
Peak,431.22,0.047242,None
