Type,Wavenumber,Absorbance,Mapped_Group
Valley,3911.64,0.090167,N/A
Peak,3890.42,0.202157,None
Valley,3882.71,0.139363,N/A
Peak,3792.05,0.426293,None
Valley,3780.48,0.279899,N/A
Peak,3736.12,0.638119,None
Valley,3718.76,0.352354,N/A
Peak,3701.40,0.431434,None
Peak,3664.75,0.678204,None
Valley,3657.04,0.442944,N/A
Peak,3618.46,0.442603,None
Peak,3579.88,0.300492,O-H
Valley,3572.17,0.213205,N/A
Valley,3527.80,0.075586,N/A
Valley,3442.94,-0.000660,N/A
Peak,3095.75,0.477934,None
Valley,2922.16,-0.010643,N/A
Peak,2885.51,0.134403,C-H
Valley,2852.72,-0.007654,N/A
Peak,2829.57,0.092136,C-H
Valley,2748.56,0.003903,N/A
Peak,2389.80,1.156875,CO2
Valley,2362.80,-2.572830,N/A
Peak,2343.51,-1.838278,CO2
Peak,2243.21,1.351422,None
Valley,1928.82,1.015476,N/A
Peak,1913.39,1.062323,None
Valley,1876.74,1.003979,N/A
Peak,1861.31,1.088541,None
Peak,1826.59,1.167800,None
Valley,1803.44,1.079073,N/A
Peak,1795.73,1.102916,None
Valley,1712.79,-0.003701,N/A
Peak,1691.57,0.149616,C=O
Valley,1681.93,0.089538,N/A
Peak,1653.00,0.232483,C=O
Valley,1583.56,-0.459972,N/A
Valley,1546.91,-0.351847,N/A
Peak,1535.34,-0.254860,C=C
Peak,1498.69,0.017740,None
Valley,1460.11,-0.107764,N/A
Peak,1454.33,-0.085161,None
Valley,1373.32,-0.337996,N/A
Peak,1355.96,-0.271525,C-O
Valley,1184.29,-0.941504,N/A
Peak,1147.65,-0.816293,C-O-C
Valley,1111.00,-0.923203,N/A
Peak,1072.42,-0.812510,C-O-C
Valley,1041.56,-0.874679,N/A
Peak,1004.91,-0.750503,C-O-C
Valley,987.55,-0.787871,N/A
Peak,935.48,-0.172588,None
Valley,837.11,-0.655474,N/A
Peak,800.46,-0.529466,None
Valley,777.31,-0.560971,N/A
Peak,713.66,-0.484084,None
Valley,677.01,-0.674435,N/A
Peak,640.37,-0.447476,None
Valley,623.01,-0.485514,N/A
Peak,590.22,-0.301732,None
Valley,549.71,-0.422994,N/A
Peak,534.28,-0.343771,None
Valley,493.78,-0.483388,N/A
Peak,441.70,-0.082019,None
Valley,422.41,-0.313799,N/A
Peak,412.77,0.040617,None
Valley,370.33,-0.362399,N/A
Peak,362.62,0.340494,None
