Type,Wavenumber,Absorbance,Mapped_Group
Valley,3739.97,-0.046584,N/A
Peak,3718.76,-0.017762,None
Valley,3666.68,-0.053255,N/A
Peak,3421.72,0.021614,O-H
Valley,3072.60,-0.004885,N/A
Peak,2924.09,0.032551,C-H
Valley,2777.50,0.000182,N/A
Peak,2362.80,0.770653,CO2
Valley,2345.44,0.473820,N/A
Valley,1789.94,-0.059713,N/A
Peak,1716.65,0.016440,C=O
Valley,1649.14,-0.011033,N/A
Peak,1585.49,0.041395,C=C
Valley,1496.76,-0.010262,N/A
Peak,1186.22,0.038890,C-O-C
Valley,933.55,-0.037854,N/A
Peak,370.33,0.040211,None
Valley,360.69,-0.008121,N/A
