Smoothing,Baseline,N_Groups_Detected,Detected_Groups,N_Peaks_Detected,N_Noise_Peaks,Score_Std,Score_Penalized
RAW,RAW,6,"C-H, C-O-C, C=C, C=O, CO2, O-H",8,2,12,10
RAW,detrend,5,"C-H, C-O-C, C=C, C=O, CO2",9,4,10,6
RAW,linear_baseline,5,"C-H, C-O-C, C=C, C=O, CO2",9,4,10,6
RAW,polynomial_baseline(deg=2),6,"C-H, C-O-C, C=C, C=O, CO2, O-H",9,3,12,9
RAW,polynomial_baseline(deg=3),6,"C-H, C-O-C, C=C, C=O, CO2, O-H",9,3,12,9
RAW,polynomial_baseline(deg=4),6,"C-H, C-O-C, C=C, C=O, CO2, O-H",9,3,12,9
RAW,"asls(lam=1e4, p=0.001)",6,"C-H, C-O-C, C=C, C=O, CO2, O-H",13,7,12,5
RAW,"asls(lam=1e5, p=0.001)",6,"C-H, C-O-C, C=C, C=O, CO2, O-H",10,4,12,8
RAW,"asls(lam=1e6, p=0.001)",6,"C-H, C-O-C, C=C, C=O, CO2, O-H",9,3,12,9
RAW,airpls(lam=1e4),6,"C-H, C-O-C, C=C, C=O, CO2, O-H",9,3,12,9
RAW,airpls(lam=1e5),6,"C-H, C-O-C, C=C, C=O, CO2, O-H",9,3,12,9
RAW,airpls(lam=1e6),6,"C-H, C-O-C, C=C, C=O, CO2, O-H",9,3,12,9
RAW,arpls(lam=1e4),5,"C-H, C-O-C, C=C, C=O, CO2",10,5,10,5
RAW,arpls(lam=1e5),5,"C-H, C-O-C, C=C, C=O, CO2",11,6,10,4
RAW,arpls(lam=1e6),6,"C-H, C-O-C, C=C, C=O, CO2, O-H",11,5,12,7
Moving_Average(3),RAW,6,"C-H, C-O-C, C=C, C=O, CO2, O-H",8,2,12,10
Moving_Average(3),detrend,5,"C-H, C-O-C, C=C, C=O, CO2",8,3,10,7
Moving_Average(3),linear_baseline,5,"C-H, C-O-C, C=C, C=O, CO2",8,3,10,7
Moving_Average(3),polynomial_baseline(deg=2),6,"C-H, C-O-C, C=C, C=O, CO2, O-H",9,3,12,9
