Type,Wavenumber,Absorbance,Mapped_Group
Peak,3890.42,0.749432,None
Valley,3884.64,0.709383,N/A
Peak,3793.98,1.454555,None
Valley,3782.41,1.263504,N/A
Peak,3736.12,1.969461,None
Valley,3716.83,1.603450,N/A
Peak,3701.40,1.658932,None
Peak,3666.68,2.015108,None
Valley,3631.96,1.513263,N/A
Peak,3620.39,1.550345,None
Valley,3421.72,-0.004336,N/A
Peak,3095.75,0.753803,None
Valley,2621.26,0.008662,N/A
Peak,2395.59,0.229470,CO2
Valley,2372.44,-0.008369,N/A
Peak,2358.94,0.392113,CO2
Valley,2339.65,0.208280,N/A
Valley,2276.00,0.274624,N/A
Peak,2245.14,0.315274,None
Valley,2067.69,0.282099,N/A
Peak,2032.97,0.331598,None
Valley,2000.18,0.302629,N/A
Peak,1961.61,0.378738,None
Valley,1928.82,0.343474,N/A
Peak,1897.95,0.440196,None
Valley,1876.74,0.399732,N/A
Peak,1826.59,0.517522,None
Valley,1805.37,0.437257,N/A
Peak,1766.80,0.620328,None
Valley,1755.22,0.562448,N/A
Peak,1735.93,0.692085,C=O
Valley,1720.50,0.555987,N/A
Peak,1701.22,0.668910,C=O
Peak,1647.21,0.217612,C=C
Valley,1633.71,0.004568,N/A
Peak,1533.41,0.912007,C=C
Valley,1527.62,0.808684,N/A
Peak,1492.90,1.120419,None
Valley,1471.69,1.054832,N/A
Peak,1448.54,1.127895,C-O
Valley,1442.75,1.099104,N/A
Valley,1404.18,1.248934,N/A
Peak,1338.60,1.632672,C-O
Valley,1323.17,1.578012,N/A
Peak,1278.81,1.954385,C-O
Valley,1120.64,-0.390794,N/A
Peak,1001.06,2.060451,C-O-C
Valley,985.62,2.009666,N/A
Peak,935.48,3.446413,None
Valley,833.25,1.577374,N/A
Peak,808.17,1.731435,None
Valley,763.81,1.558032,N/A
Peak,731.02,1.589664,None
Valley,675.09,0.349674,N/A
Peak,661.58,0.455279,None
Valley,609.51,-0.574345,N/A
Peak,574.79,1.592978,None
Valley,489.92,-0.385705,N/A
Peak,445.56,1.518788,None
Valley,424.34,1.191015,N/A
Peak,410.84,1.801361,None
Valley,372.26,1.500881,N/A
Peak,364.55,4.415684,None
