Smoothing,Baseline,N_Groups_Detected,Detected_Groups,N_Peaks_Detected,N_Noise_Peaks,Score_Std,Score_Penalized
RAW,RAW,2,"C=C, CO2",3,1,4,3
RAW,detrend,2,"C-O-C, CO2",3,1,4,3
RAW,linear_baseline,2,"C-O-C, CO2",3,1,4,3
RAW,polynomial_baseline(deg=2),7,"C-H, C-O, C-O-C, C=C, C=O, CO2, O-H",28,15,20,5
RAW,polynomial_baseline(deg=3),7,"C-H, C-O, C-O-C, C=C, C=O, CO2, O-H",28,15,20,5
RAW,polynomial_baseline(deg=4),7,"C-H, C-O, C-O-C, C=C, C=O, CO2, O-H",27,14,20,6
RAW,"asls(lam=1e4, p=0.001)",7,"C-H, C-O, C-O-C, C=C, C=O, CO2, O-H",33,17,23,6
RAW,"asls(lam=1e5, p=0.001)",7,"C-H, C-O, C-O-C, C=C, C=O, CO2, O-H",33,17,23,6
RAW,"asls(lam=1e6, p=0.001)",7,"C-H, C-O, C-O-C, C=C, C=O, CO2, O-H",34,19,22,3
RAW,airpls(lam=1e4),7,"C-H, C-O, C-O-C, C=C, C=O, CO2, O-H",34,19,22,3
RAW,airpls(lam=1e5),7,"C-H, C-O, C-O-C, C=C, C=O, CO2, O-H",30,16,21,5
RAW,airpls(lam=1e6),7,"C-H, C-O, C-O-C, C=C, C=O, CO2, O-H",26,13,20,7
RAW,arpls(lam=1e4),7,"C-H, C-O, C-O-C, C=C, C=O, CO2, O-H",33,16,24,8
RAW,arpls(lam=1e5),7,"C-H, C-O, C-O-C, C=C, C=O, CO2, O-H",32,16,23,7
RAW,arpls(lam=1e6),7,"C-H, C-O, C-O-C, C=C, C=O, CO2, O-H",32,16,23,7
Moving_Average(3),RAW,2,"C=C, CO2",2,0,4,4
Moving_Average(3),detrend,2,"C-O-C, CO2",2,0,4,4
Moving_Average(3),linear_baseline,2,"C-O-C, CO2",2,0,4,4
Moving_Average(3),polynomial_baseline(deg=2),7,"C-H, C-O, C-O-C, C=C, C=O, CO2, O-H",23,12,18,6
Moving_Average(3),polynomial_baseline(deg=3),7,"C-H, C-O, C-O-C, C=C, C=O, CO2, O-H",24,13,18,5
Moving_Average(3),polynomial_baseline(deg=4),7,"C-H, C-O, C-O-C, C=C, C=O, CO2, O-H",26,13,20,7
Moving_Average(3),"asls(lam=1e4, p=0.001)",7,"C-H, C-O, C-O-C, C=C, C=O, CO2, O-H",30,15,22,7
Moving_Average(3),"asls(lam=1e5, p=0.001)",7,"C-H, C-O, C-O-C, C=C, C=O, CO2, O-H",27,13,21,8
Moving_Average(3),"asls(lam=1e6, p=0.001)",7,"C-H, C-O, C-O-C, C=C, C=O, CO2, O-H",25,14,18,4
Moving_Average(3),airpls(lam=1e4),7,"C-H, C-O, C-O-C, C=C, C=O, CO2, O-H",26,13,20,7
